Process Name,Count
System Idle Process,1
System,1
Secure System,1
Registry,1
smss.exe,1
csrss.exe,2
wininit.exe,1
winlogon.exe,1
services.exe,1
LsaIso.exe,1
lsass.exe,1
svchost.exe,89
WUDFHost.exe,4
fontdrvhost.exe,2
dwm.exe,1
MsMpEng.exe,1
Memory Compression,1
DiagsCap.exe,1
AppHelperCap.exe,1
TouchpointAnalyticsClientService.exe,1
NetworkCap.exe,1
SysInfoCap.exe,1
WmiPrvSE.exe,2
IntelCpHDCPSvc.exe,1
unsecapp.exe,2
spoolsv.exe,1
MsSense.exe,1
ZSAService.exe,1
IntelAudioService.exe,1
jhi_service.exe,1
WMIRegistrationService.exe,1
ipfsvc.exe,1
LanWlanWwanSwitchingServiceUWP.exe,1
ELAN_MOC_Service.exe,1
HotKeyServiceUWP.exe,1
armsvc.exe,1
ETDService.exe,1
ipf_uf.exe,1
RtkAudUService64.exe,3
OneApp.IGCC.WinService.exe,1
RtkBtManServ.exe,1
SECOMN64.exe,1
agentmonitor.exe,1
aeagent.exe,1
conhost.exe,8
mysqld.exe,2
mongod.exe,1
NisSrv.exe,1
AggregatorHost.exe,1
SenseCE.exe,2
SenseTVM.exe,1
ipf_helper.exe,1
sihost.exe,1
ETDCtrl.exe,1
HPHotkeyNotification.exe,1
taskhostw.exe,1
explorer.exe,1
ZSATrayManager.exe,1
SECOCL64.exe,1
SearchHost.exe,1
StartMenuExperienceHost.exe,1
Widgets.exe,1
RuntimeBroker.exe,8
ZSATunnel.exe,1
ZSATray.exe,1
dllhost.exe,3
ctfmon.exe,1
SecurityHealthSystray.exe,1
SecurityHealthService.exe,1
ZSAUpm.exe,1
TextInputHost.exe,1
msteams.exe,1
ms-teams.exe,1
msedgewebview2.exe,16
UserOOBEBroker.exe,1
Code.exe,12
powershell.exe,3
python.exe,3
Microsoft.Management.Services.IntuneWindowsAgent.exe,1
uhssvc.exe,1
WidgetService.exe,1
ApplicationFrameHost.exe,1
ShellExperienceHost.exe,1
LockApp.exe,1
dasHost.exe,1
MpDefenderCoreService.exe,1
pwahelper.exe,1
msedge.exe,8
BridgeCommunication.exe,3
SearchIndexer.exe,1
CodeSetup-stable-b58957e67ee1e712cebf466b995adf4c5307b2bd.exe,1
CodeSetup-stable-b58957e67ee1e712cebf466b995adf4c5307b2bd.tmp,1
SystemSettings.exe,1
LocationNotificationWindows.exe,1
PhoneExperienceHost.exe,1
backgroundTaskHost.exe,1
OneDrive.exe,1
Microsoft.SharePoint.exe,1
HPAudioCenter.exe,1
SenseNdr.exe,1
SnippingTool.exe,1
pacjsworker.exe,1
audiodg.exe,1
SearchProtocolHost.exe,1
SearchFilterHost.exe,1
smartscreen.exe,1
